ORDER_ID,DATE,USER_ID,VERTICAL
1,2024-09-26,56,Travel
2,2024-10-21,244,Restaurant
3,2024-10-13,113,Restaurant
4,2024-09-27,126,Turbo
5,2024-10-19,187,Travel
6,2024-10-14,12,Turbo
7,2024-10-23,101,Restaurant
8,2024-10-21,32,Travel
9,2024-09-25,17,Travel
10,2024-10-15,67,CPGs
11,2024-09-30,59,Turbo
12,2024-10-22,138,Turbo
13,2024-10-22,63,Turbo
14,2024-10-17,60,Travel
15,2024-10-13,35,Travel
16,2024-10-08,211,CPGs
17,2024-09-30,20,CPGs
18,2024-10-08,216,Travel
19,2024-10-08,39,Restaurant
20,2024-10-17,12,Turbo
21,2024-10-26,165,Travel
22,2024-10-17,171,Restaurant
23,2024-10-18,186,Travel
24,2024-10-17,34,CPGs
25,2024-10-12,246,Travel
26,2024-10-23,68,CPGs
27,2024-09-30,222,CPGs
28,2024-10-15,18,CPGs
29,2024-10-19,107,Restaurant
30,2024-09-16,210,Travel
31,2024-10-24,223,Restaurant
32,2024-10-26,138,Turbo
33,2024-10-21,208,Travel
34,2024-10-02,219,Restaurant
35,2024-10-12,15,Turbo
36,2024-09-13,40,CPGs
37,2024-10-22,136,Travel
38,2024-09-25,197,Travel
39,2024-10-18,238,CPGs
40,2024-09-11,64,Travel
41,2024-09-10,59,CPGs
42,2024-10-27,178,Travel
43,2024-09-17,212,Turbo
44,2024-10-01,219,CPGs
45,2024-10-27,93,Turbo
46,2024-10-01,120,Restaurant
47,2024-10-18,180,Turbo
48,2024-09-10,244,Turbo
49,2024-10-26,199,Restaurant
50,2024-10-01,178,Restaurant
51,2024-10-26,157,Restaurant
52,2024-10-15,141,Travel
53,2024-10-27,193,Travel
54,2024-10-12,241,Turbo
55,2024-10-24,193,Turbo
56,2024-10-05,20,Turbo
57,2024-10-13,250,Restaurant
58,2024-09-17,40,Travel
59,2024-10-19,33,Restaurant
60,2024-10-16,237,Restaurant
61,2024-09-26,38,Restaurant
62,2024-10-11,153,Restaurant
63,2024-10-18,21,CPGs
64,2024-10-18,123,Travel
65,2024-09-29,150,Travel
66,2024-10-22,40,Turbo
67,2024-10-09,117,CPGs
68,2024-10-19,220,Turbo
69,2024-10-08,171,Turbo
70,2024-09-13,67,Travel
71,2024-09-16,160,Travel
72,2024-10-09,168,Turbo
73,2024-09-03,150,CPGs
74,2024-10-08,215,Turbo
75,2024-10-20,201,Turbo
76,2024-10-05,157,CPGs
77,2024-10-19,90,Turbo
78,2024-10-22,202,CPGs
79,2024-09-24,94,Turbo
80,2024-10-27,239,CPGs
81,2024-10-08,113,Travel
82,2024-09-30,143,Turbo
83,2024-09-22,10,CPGs
84,2024-10-09,11,Travel
85,2024-10-23,156,Travel
86,2024-09-26,238,Travel
87,2024-10-04,112,CPGs
88,2024-10-03,61,Turbo
89,2024-10-23,81,Turbo
90,2024-10-23,76,Restaurant
91,2024-10-18,3,Travel
92,2024-10-08,114,Travel
93,2024-10-26,177,Turbo
94,2024-10-21,6,Travel
95,2024-10-02,144,CPGs
96,2024-10-23,185,CPGs
97,2024-10-02,198,Restaurant
98,2024-10-21,164,Travel
99,2024-10-09,241,Restaurant
100,2024-10-12,175,Restaurant
101,2024-10-24,130,CPGs
102,2024-10-22,176,Travel
103,2024-10-22,28,Turbo
104,2024-09-20,162,CPGs
105,2024-10-27,100,Restaurant
106,2024-10-11,46,Travel
107,2024-09-30,89,Turbo
108,2024-10-26,193,Restaurant
109,2024-10-27,115,CPGs
110,2024-09-30,64,Travel
111,2024-10-21,70,Restaurant
112,2024-10-13,7,Restaurant
113,2024-10-18,75,Turbo
114,2024-10-24,233,Travel
115,2024-10-04,73,Restaurant
116,2024-10-21,234,Turbo
117,2024-09-04,86,Turbo
118,2024-09-11,26,Turbo
119,2024-10-22,35,CPGs
120,2024-10-01,134,CPGs
121,2024-10-09,51,Travel
122,2024-10-19,75,CPGs
123,2024-09-20,33,Restaurant
124,2024-10-11,113,CPGs
125,2024-10-25,165,Turbo
126,2024-09-12,4,CPGs
127,2024-10-26,75,Turbo
128,2024-10-05,80,Travel
129,2024-09-23,160,Restaurant
130,2024-10-19,41,CPGs
131,2024-10-23,145,Travel
132,2024-10-04,106,Travel
133,2024-10-08,82,Restaurant
134,2024-10-06,110,CPGs
135,2024-10-05,206,Restaurant
136,2024-09-11,67,Travel
137,2024-09-02,85,CPGs
138,2024-10-22,55,Restaurant
139,2024-10-11,87,Travel
140,2024-10-26,75,Restaurant
141,2024-10-04,121,CPGs
142,2024-10-18,63,Restaurant
143,2024-10-16,196,Restaurant
144,2024-10-13,74,CPGs
145,2024-10-20,97,Turbo
146,2024-10-25,28,Travel
147,2024-09-17,231,Restaurant
148,2024-09-23,51,Turbo
149,2024-09-09,245,Restaurant
150,2024-10-26,13,Turbo
151,2024-10-23,239,Restaurant
152,2024-10-15,119,Restaurant
153,2024-09-25,26,Restaurant
154,2024-10-01,107,Restaurant
155,2024-09-28,9,CPGs
156,2024-09-02,94,Restaurant
157,2024-10-03,154,CPGs
158,2024-10-20,43,Turbo
159,2024-10-25,199,Restaurant
160,2024-09-29,170,Turbo
161,2024-10-20,197,Turbo
162,2024-10-23,127,CPGs
163,2024-10-27,214,Restaurant
164,2024-10-25,109,Travel
165,2024-10-13,49,CPGs
166,2024-10-14,200,Travel
167,2024-10-18,158,CPGs
168,2024-10-11,204,Turbo
169,2024-09-02,23,Restaurant
170,2024-09-11,245,Restaurant
171,2024-10-13,230,Restaurant
172,2024-10-14,232,CPGs
173,2024-09-30,77,CPGs
174,2024-10-14,41,Restaurant
175,2024-10-02,217,CPGs
176,2024-10-10,203,Travel
177,2024-10-23,50,Restaurant
178,2024-09-25,156,Restaurant
179,2024-10-01,162,CPGs
180,2024-10-27,240,Restaurant
181,2024-10-25,73,Restaurant
182,2024-10-25,157,Restaurant
183,2024-10-08,97,Travel
184,2024-10-08,250,Travel
185,2024-10-08,110,Travel
186,2024-10-24,228,Turbo
187,2024-10-08,234,Restaurant
188,2024-10-25,182,CPGs
189,2024-10-23,105,Travel
190,2024-10-17,24,Turbo
191,2024-10-27,40,Restaurant
192,2024-10-08,125,Restaurant
193,2024-10-22,237,Turbo
194,2024-09-30,154,Restaurant
195,2024-10-14,76,Turbo
196,2024-10-11,49,Restaurant
197,2024-10-11,1,Travel
198,2024-10-20,46,Travel
199,2024-10-07,213,Restaurant
200,2024-10-15,188,CPGs
201,2024-10-27,40,Turbo
202,2024-10-24,138,Travel
203,2024-10-05,154,Restaurant
204,2024-10-23,109,Travel
205,2024-10-16,177,Turbo
206,2024-10-27,143,Restaurant
207,2024-09-29,172,Turbo
208,2024-10-17,240,Travel
209,2024-09-11,175,Turbo
210,2024-10-23,37,Travel
211,2024-09-29,99,Restaurant
212,2024-09-28,126,Turbo
213,2024-10-24,125,CPGs
214,2024-10-14,150,Travel
215,2024-10-10,35,Restaurant
216,2024-10-20,187,CPGs
217,2024-10-11,29,Travel
218,2024-10-18,197,Travel
219,2024-09-26,63,Restaurant
220,2024-10-04,57,Turbo
221,2024-10-16,85,Travel
222,2024-10-06,50,Travel
223,2024-10-25,228,CPGs
224,2024-10-16,11,CPGs
225,2024-10-02,57,Restaurant
226,2024-10-23,118,CPGs
227,2024-09-27,172,Restaurant
228,2024-10-23,220,Turbo
229,2024-10-07,201,Turbo
230,2024-10-26,45,Turbo
231,2024-10-17,184,Travel
232,2024-10-19,104,Travel
233,2024-10-26,137,CPGs
234,2024-09-17,187,Travel
235,2024-10-02,212,Turbo
236,2024-09-26,33,Turbo
237,2024-10-25,37,Travel
238,2024-09-15,40,Turbo
239,2024-10-12,131,CPGs
240,2024-09-26,98,CPGs
241,2024-10-05,39,Turbo
242,2024-10-21,149,CPGs
243,2024-10-11,87,CPGs
244,2024-10-26,178,CPGs
245,2024-09-17,57,Travel
246,2024-10-08,58,Turbo
247,2024-10-17,60,Restaurant
248,2024-10-08,104,CPGs
249,2024-10-09,155,Turbo
250,2024-10-21,137,Turbo
251,2024-10-13,18,Restaurant
252,2024-09-20,175,CPGs
253,2024-10-16,209,Turbo
254,2024-10-14,33,Travel
255,2024-10-13,51,Turbo
256,2024-09-24,94,Travel
257,2024-10-22,49,Turbo
258,2024-09-05,215,Turbo
259,2024-10-02,66,Restaurant
260,2024-10-06,139,Turbo
261,2024-10-05,231,Turbo
262,2024-10-07,35,Turbo
263,2024-10-26,210,Restaurant
264,2024-09-21,31,Restaurant
265,2024-10-13,148,Travel
266,2024-10-15,25,Restaurant
267,2024-09-27,132,Turbo
268,2024-10-10,123,Turbo
269,2024-10-02,50,Restaurant
270,2024-10-09,138,Turbo
271,2024-10-05,116,Restaurant
272,2024-10-20,11,CPGs
273,2024-09-21,170,Restaurant
274,2024-10-17,8,Restaurant
275,2024-10-21,213,Restaurant
276,2024-10-15,152,CPGs
277,2024-10-17,119,CPGs
278,2024-09-06,177,CPGs
279,2024-10-27,69,CPGs
280,2024-10-23,109,CPGs
281,2024-10-10,97,Restaurant
282,2024-10-20,124,Travel
283,2024-10-17,177,Travel
284,2024-10-06,47,Turbo
285,2024-10-10,119,Restaurant
286,2024-10-22,185,Restaurant
287,2024-10-18,162,CPGs
288,2024-10-21,149,Restaurant
289,2024-10-25,219,CPGs
290,2024-10-21,187,Restaurant
291,2024-10-14,92,Turbo
292,2024-09-02,44,CPGs
293,2024-10-12,241,Turbo
294,2024-09-25,205,Turbo
295,2024-10-11,87,Restaurant
296,2024-10-06,222,CPGs
297,2024-10-12,211,CPGs
298,2024-10-27,76,CPGs
299,2024-09-28,195,Travel
300,2024-10-07,138,CPGs
301,2024-09-22,87,Turbo
302,2024-09-21,248,Restaurant
303,2024-10-11,125,Restaurant
304,2024-09-23,197,Restaurant
305,2024-10-12,231,CPGs
